,filmeId,nota_media,Horror,Crime,Children,Thriller,Film-Noir,Documentary,Fantasy,Mystery,Comedy,Drama,Musical,Adventure,Romance,War,Animation,IMAX,Action,Western,Sci-Fi,class
0,1,3.92093023255814,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,4
1,3,3.2596153846153846,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
2,6,3.9460784313725488,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
3,47,3.975369458128079,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
4,50,4.237745098039214,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
5,70,3.5090909090909093,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
6,101,3.782608695652174,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4
7,110,4.0316455696202524,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
8,151,3.5454545454545454,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,4
9,157,2.863636363636364,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
10,163,3.560606060606061,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4
11,216,3.326530612244898,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
12,223,3.8557692307692313,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
13,231,3.0601503759398496,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4
14,235,3.678571428571429,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
15,260,4.231075697211154,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
16,296,4.197068403908795,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
17,316,3.375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
18,333,3.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
19,349,3.6045454545454554,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4
20,356,4.164133738601824,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4
21,362,3.5294117647058822,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4
22,367,3.1847133757961785,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4
23,423,2.85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
24,441,3.928571428571429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
25,457,3.992105263157895,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
26,480,3.75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
27,500,3.388888888888889,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
28,527,4.225,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4
29,543,3.317073170731707,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
30,552,3.262295081967213,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,4
31,553,3.815384615384616,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4
32,590,3.8353658536585367,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4
33,592,3.4285714285714284,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
34,593,4.161290322580645,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
35,596,3.45,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4
36,608,4.116022099447513,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
37,648,3.537037037037037,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4
38,661,3.4489795918367347,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,4
39,673,2.707547169811321,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,4
40,733,3.6404958677685952,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
41,736,3.3211382113821135,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,4
42,780,3.445544554455445,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
43,804,3.25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
44,919,3.8804347826086962,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4
45,923,4.043478260869565,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4
46,940,4.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,4
47,943,3.928571428571429,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4
48,954,4.083333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
49,1009,3.055555555555556,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
50,1023,3.615384615384616,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
51,1024,3.6666666666666665,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
52,1025,3.58,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4
53,1029,3.3857142857142857,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4
54,1030,2.7666666666666666,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4
55,1031,3.4791666666666665,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4
56,1032,3.375,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,4
57,1042,3.273809523809524,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
58,1049,3.4761904761904763,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
59,1060,3.6944444444444446,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
60,1073,3.8739495798319328,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4
61,1080,3.926966292134832,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
62,1089,4.202290076335878,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
63,1090,3.9841269841269837,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4
64,1092,3.191489361702128,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
65,1097,3.766393442622951,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
66,1127,3.4758064516129035,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
67,1136,4.161764705882353,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4
68,1196,4.2156398104265405,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
69,1197,4.232394366197183,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,4
70,1198,4.2075,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
71,1206,3.995833333333333,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
72,1208,4.219626168224299,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
73,1210,4.137755102040817,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
74,1213,4.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
75,1214,3.9691780821917813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
76,1219,4.036144578313253,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
77,1220,3.809523809523809,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4
78,1222,4.098039215686274,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4
79,1224,4.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,4
80,1226,3.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
81,1240,3.896946564885496,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
82,1256,3.804347826086957,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4
