filmeId,nota_media,Horror,Crime,Children,Thriller,Film-Noir,Documentary,Fantasy,Mystery,Comedy,Drama,Musical,Adventure,Romance,War,Animation,IMAX,Action,Western,Sci-Fi,class
1,3.92093023255814,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,4
3,3.2596153846153846,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
6,3.9460784313725488,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
47,3.975369458128079,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
50,4.237745098039214,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
70,3.5090909090909093,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
101,3.782608695652174,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4
110,4.0316455696202524,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
151,3.5454545454545454,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,4
157,2.863636363636364,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
163,3.560606060606061,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4
216,3.326530612244898,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
223,3.8557692307692313,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
231,3.0601503759398496,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4
235,3.678571428571429,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
260,4.231075697211154,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
296,4.197068403908795,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
316,3.375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
333,3.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
349,3.6045454545454563,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4
356,4.164133738601824,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4
362,3.5294117647058822,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4
367,3.1847133757961785,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4
423,2.85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
441,3.928571428571429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
457,3.992105263157895,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
480,3.75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4
500,3.388888888888889,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
527,4.225,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4
543,3.317073170731707,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
552,3.262295081967213,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,4
